2025-09-28 13:54:25 | INFO     | __main__:main:140 | Servidor iniciando en http://0.0.0.0:8990
2025-09-28 13:54:25 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-28 13:54:25 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-28 13:54:25 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 2
2025-09-28 13:54:25 | INFO     | __main__:main:147 |   - camera_1: Pattern Test Stream
2025-09-28 13:54:25 | INFO     | __main__:main:147 |   - camera_2: Movie Test Stream
2025-09-28 14:00:59 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 14:00:59 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 14:00:59 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 14:00:59 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 14:00:59 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
2025-09-28 14:00:59 | INFO     | __main__:check_dependencies:74 | python-socketio disponible
2025-09-28 14:00:59 | INFO     | __main__:main:140 | Servidor iniciando en http://0.0.0.0:8990
2025-09-28 14:00:59 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-28 14:00:59 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-28 14:00:59 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 2
2025-09-28 14:00:59 | INFO     | __main__:main:147 |   - camera_1: Pattern Test Stream
2025-09-28 14:00:59 | INFO     | __main__:main:147 |   - camera_2: Movie Test Stream
2025-09-28 14:07:26 | INFO     | __main__:main:162 | Aplicación finalizada
2025-09-28 14:07:27 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 14:07:27 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 14:07:27 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 14:07:27 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 14:07:27 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
2025-09-28 14:07:27 | INFO     | __main__:check_dependencies:74 | python-socketio disponible
2025-09-28 14:07:27 | INFO     | __main__:main:140 | Servidor iniciando en http://0.0.0.0:8990
2025-09-28 14:07:27 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-28 14:07:27 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-28 14:07:27 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 2
2025-09-28 14:07:27 | INFO     | __main__:main:147 |   - camera_1: Hessdalen Live Stream
2025-09-28 14:07:27 | INFO     | __main__:main:147 |   - camera_2: BigCDN Test Stream
2025-09-28 16:11:29 | INFO     | __main__:main:162 | Aplicación finalizada
2025-09-28 16:17:29 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 16:17:29 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 16:17:29 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 16:17:29 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 16:17:29 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
2025-09-28 16:17:29 | INFO     | __main__:check_dependencies:74 | python-socketio disponible
2025-09-28 16:17:29 | INFO     | __main__:main:140 | Servidor iniciando en http://0.0.0.0:8990
2025-09-28 16:17:29 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-28 16:17:29 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-28 16:17:29 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 2
2025-09-28 16:17:29 | INFO     | __main__:main:147 |   - camera_1: Demo Video Stream
2025-09-28 16:17:29 | INFO     | __main__:main:147 |   - camera_2: Test Pattern Stream
2025-09-28 16:32:58 | INFO     | __main__:main:162 | Aplicación finalizada
2025-09-28 16:32:59 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 16:32:59 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 16:32:59 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 16:32:59 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 16:32:59 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
2025-09-28 16:33:00 | INFO     | __main__:check_dependencies:74 | python-socketio disponible
2025-09-28 16:33:00 | INFO     | __main__:main:140 | Servidor iniciando en http://0.0.0.0:8990
2025-09-28 16:33:00 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-28 16:33:00 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-28 16:33:00 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 2
2025-09-28 16:33:00 | INFO     | __main__:main:147 |   - camera_1: Wowza Test Stream
2025-09-28 16:33:00 | INFO     | __main__:main:147 |   - camera_2: BigCDN Test Stream
2025-09-28 16:56:18 | INFO     | __main__:main:162 | Aplicación finalizada
2025-09-28 16:56:19 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 16:56:19 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 16:56:19 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 16:56:19 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 16:56:19 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
